Model Name,Number of Iterations,Precision,Recall,F1 Score,PSNR,SSIM,LPIPS,Time Taken (s)
Instant-NGP,100,1.61,17.61,2.95,15.31,0.29,0.91,16
Instant-NGP,200,1.29,8.19,2.23,14.66,0.27,0.84,30
Instant-NGP,400,2.45,19.22,4.34,15.65,0.29,0.82,46
Instant-NGP,800,2.81,18.90,4.89,15.91,0.29,0.79,67
Instant-NGP,1000,2.88,10.08,4.48,15.61,0.26,0.71,82
Instant-NGP,5000,6.47,40.28,11.15,17.39,0.37,0.61,186
Instant-NGP,10000,9.38,47.12,15.65,17.86,0.40,0.54,311
Instant-NGP,20000,11.62,54.26,19.13,18.27,0.43,0.48,548
Instant-NGP,30000,12.96,56.88,21.11,18.46,0.45,0.45,783
Instant-NGP,60000,15.06,59.55,24.04,18.54,0.47,0.40,1466
NeRFacto,100,4.26,35.99,7.61,15.65,0.29,0.84,13
NeRFacto,200,6.53,42.49,11.31,15.91,0.27,0.66,27
NeRFacto,400,10.48,50.45,17.35,16.44,0.29,0.69,43
NeRFacto,800,18.49,57.01,27.93,16.81,0.31,0.69,64
NeRFacto,1000,18.39,58.02,27.93,16.56,0.29,0.65,80
NeRFacto,5000,49.87,74.75,59.83,17.29,0.34,0.54,189
NeRFacto,10000,58.22,78.80,66.96,17.24,0.34,0.47,318
NeRFacto,20000,64.91,80.61,71.92,17.03,0.34,0.41,561
NeRFacto,30000,66.30,81.33,73.05,16.88,0.33,0.38,803
NeRFacto,60000,68.29,82.32,74.65,16.70,0.32,0.34,1499
TensoRF,100,1.48,12.65,2.65,15.05,0.29,0.96,17
TensoRF,200,3.05,27.40,5.48,15.26,0.29,0.90,31
TensoRF,400,5.69,43.45,10.06,15.63,0.29,0.83,47
TensoRF,800,8.92,49.59,15.13,15.96,0.29,0.78,68
TensoRF,1000,10.48,50.82,17.37,16.03,0.29,0.75,84
TensoRF,5000,28.74,70.83,40.89,16.84,0.34,0.64,208
TensoRF,10000,40.85,75.24,52.95,17.31,0.38,0.56,374
TensoRF,20000,40.82,75.38,52.96,17.33,0.39,0.55,697
TensoRF,30000,40.80,75.26,52.92,17.34,0.39,0.55,1018
TensoRF,60000,40.95,75.62,53.13,17.32,0.39,0.55,1965
