Model Name,Number of Iterations,Precision,Recall,F1 Score,PSNR,SSIM,LPIPS,Time Taken (s)
Instant-NGP,100,0.57,1.23,0.78,13.70,0.36,0.89,13
Instant-NGP,200,1.52,4.41,2.27,13.91,0.32,0.85,27
Instant-NGP,400,2.49,9.35,3.93,14.95,0.36,0.77,43
Instant-NGP,800,5.83,24.29,9.41,15.91,0.39,0.69,63
Instant-NGP,1000,5.72,22.80,9.14,15.68,0.32,0.69,78
Instant-NGP,5000,18.30,51.68,27.02,18.12,0.55,0.44,176
Instant-NGP,10000,20.86,55.25,30.28,18.67,0.59,0.38,296
Instant-NGP,20000,23.24,58.53,33.27,19.05,0.63,0.33,1023
Instant-NGP,30000,23.45,58.57,33.49,19.08,0.64,0.31,1886
NeRFacto,100,7.77,27.44,12.12,14.93,0.35,0.77,15
NeRFacto,200,16.42,37.77,22.89,15.51,0.32,0.70,28
NeRFacto,400,25.83,49.81,34.02,16.40,0.39,0.67,44
NeRFacto,800,35.97,56.86,44.07,17.10,0.43,0.60,64
NeRFacto,1000,36.22,57.80,44.53,16.96,0.40,0.61,79
NeRFacto,5000,58.64,70.87,64.18,18.69,0.59,0.37,404
NeRFacto,10000,61.31,74.12,67.11,18.91,0.62,0.31,749
NeRFacto,20000,63.68,76.21,69.38,19.00,0.64,0.27,988
NeRFacto,30000,64.47,76.80,70.10,18.93,0.64,0.25,1226
TensoRF,100,1.51,12.62,2.70,13.38,0.35,0.83,14
TensoRF,200,2.53,17.53,4.43,13.81,0.34,0.79,27
TensoRF,400,4.41,26.94,7.58,14.19,0.34,0.74,44
TensoRF,800,6.28,35.10,10.66,14.46,0.34,0.71,66
TensoRF,1000,7.09,35.61,11.82,14.51,0.33,0.70,82
TensoRF,5000,13.09,51.34,20.86,15.16,0.36,0.64,399
TensoRF,10000,20.51,55.03,29.88,15.51,0.42,0.57,840
TensoRF,20000,20.44,54.97,29.80,15.54,0.42,0.56,1709
TensoRF,30000,20.50,55.34,29.91,15.54,0.42,0.56,2607
